date,team1,team2,toss_winner,Decision,powerplay_run1,first_score,first_wkts,powerplay_run2,second_score,second_wkts,winner,player_of_the_match,Stadium_Name,Location
28-04-2024,Gujarat,Bangalore,Bangalore,Field,55,200,3,66,206,1,Bangalore,Will Jacks,Narendra Modi Stadium,Ahmedabad
28-04-2024,Chennai,Hyderabad,Hyderabad,Field,58,212,3,63,134,10,Chennai,Ruturaj Gaikwad,MA Chidambaram Stadium,Chennai
29-04-2024,Delhi,Kolkata,Delhi,Bat,52,153,9,57,157,3,Kolkata,Varun Chakravarthy,Arun Jaitley Stadium,Delhi
30-04-2024,Mumbai,Lucknow,Lucknow,Field,52,144,7,58,145,6,Lucknow,Marcus Stoinis,Ekana Stadium,Lucknow
01-05-2024,Chennai,Punjab,Punjab,Field,55,162,7,52,163,3,Punjab,Harpreet Brar,MA Chidambaram Stadium,Chennai
02-05-2024,Hyderabad,Rajasthan,Hyderabad,Field,37,201,3,60,200,7,Hyderabad,Bhuvneshwae Kumar,Rajiv Gandhi Cricket Stadium,Hyderabad
03-05-2024,Kolkata,Mumbai,Mumbai,Field,57,169,10,46,145,10,Kolkata,Venkatesh Iyer,Wankhede Stadium,Mumbai
04-05-2024,Gujarat,Bangalore,Bangalore,Field,23,147,10,92,152,6,Bangalore,Mohammed Siraj,M. Chinnaswamy Stadium,Bangalore
05-05-2024,Chennai,Punjab,Punjab,Field,60,167,9,47,139,9,Chennai,Ravindra Jadeja,Himachal Pradesh Stadium,Dharamshala
05-05-2024,Kolkata,Lucknow,Kolkata,Bat,70,235,6,55,137,10,Kolkata,Sunil Narine,Ekana Stadium,Lucknow
06-05-2024,Hyderabad,Mumbai,Mumbai,Field,56,173,8,52,174,3,Mumbai,Suryakumar Yadav,Wankhede Stadium,Mumbai
07-05-2024,Delhi,Rajasthan,Rajasthan,Field,78,221,8,67,201,8,Delhi,Kuldeep Yadav,Arun Jaitley Stadium,Delhi
08-05-2024,Lucknow,Hyderabad,Hyderabad,Field,27,165,4,107,167,0,Hyderabad,Travis Head,Rajiv Gandhi Cricket Stadium,Hyderabad
